region,estimate,se,df,t.stat,p.value,lower.ci,upper.ci,yr
Central Africa,0.59716467,0.080958857,166,7.376149972,7.39E-12,0.463999201,0.730330139,2003
Central Africa,0.588781973,0.068859211,166,8.550518688,7.73E-15,0.47551865,0.702045297,2004
Central Africa,0.371968623,0.081687894,166,4.553534232,1.02E-05,0.237603994,0.506333252,2005
Central Africa,0.234311977,0.087882313,166,2.666201763,0.008429974,0.089758436,0.378865518,2006
Central Africa,0.625196394,0.085147497,166,7.342510523,8.94E-12,0.485141224,0.765251563,2007
Central Africa,0.677331383,0.081812864,166,8.279032739,3.92E-14,0.542761196,0.81190157,2008
Central Africa,0.634853097,0.112864559,166,5.624910955,7.72E-08,0.449207417,0.820498777,2009
Central Africa,0.719783525,0.098173221,166,7.331770496,9.49E-12,0.558302947,0.881264104,2010
Central Africa,0.869609416,0.07864213,166,11.05780601,1.20E-21,0.740254623,0.998964208,2011
Central Africa,0.840899543,0.091458199,166,9.194359342,1.53E-16,0.690464193,0.991334893,2012
Central Africa,0.752539489,0.106452674,166,7.069239895,4.12E-11,0.577440422,0.927638555,2013
Central Africa,0.801292198,0.084419375,166,9.491804392,2.43E-17,0.662434682,0.940149714,2014
Central Africa,0.772389802,0.089028201,166,8.675788079,3.63E-15,0.625951443,0.918828161,2015
Central Africa,0.78308753,0.083310769,166,9.3995955,4.30E-17,0.64605351,0.920121551,2016
Central Africa,0.704916621,0.088774738,166,7.940509212,2.88E-13,0.558895172,0.85093807,2017
Central Africa,0.811469064,0.100935874,166,8.039451513,1.61E-13,0.645444326,0.977493802,2018
Central Africa,0.757042955,0.115261625,166,6.56803995,6.27E-10,0.567454454,0.946631457,2019
Eastern Africa,0.216141028,0.066267839,188,3.261627847,0.001315419,0.107140133,0.325141923,2003
Eastern Africa,0.367809815,0.073172786,188,5.026593035,1.16E-06,0.247451293,0.488168336,2004
Eastern Africa,0.305433955,0.066403029,188,4.599699162,7.76E-06,0.196210693,0.414657217,2005
Eastern Africa,0.390225915,0.066260184,188,5.889297154,1.76E-08,0.28123761,0.499214219,2006
Eastern Africa,0.328415706,0.066632029,188,4.928796427,1.81E-06,0.218815771,0.43801564,2007
Eastern Africa,0.413877876,0.05987087,188,6.912842143,7.18E-11,0.315399057,0.512356694,2008
Eastern Africa,0.240937158,0.053333496,188,4.517557896,1.10E-05,0.153211363,0.328662953,2009
Eastern Africa,0.477395202,0.056493822,188,8.450396581,7.85E-15,0.384471134,0.57031927,2010
Eastern Africa,0.611405096,0.052283839,188,11.69395954,4.31E-24,0.525405834,0.697404359,2011
Eastern Africa,0.547435362,0.051051637,188,10.72316954,3.08E-21,0.463462891,0.631407833,2012
Eastern Africa,0.532659433,0.053081952,188,10.03466175,3.01E-19,0.445347392,0.619971474,2013
Eastern Africa,0.472533877,0.059514634,188,7.939793069,1.79E-13,0.374641016,0.570426738,2014
Eastern Africa,0.434271188,0.058653289,188,7.404038166,4.31E-12,0.337795113,0.530747263,2015
Eastern Africa,0.304615295,0.060088175,188,5.069471537,9.51E-07,0.205779042,0.403451548,2016
Eastern Africa,0.212355676,0.053913948,188,3.938789165,0.000115316,0.123675122,0.301036229,2017
Eastern Africa,0.299178326,0.057081491,188,5.241249316,4.26E-07,0.205287628,0.393069023,2018
Eastern Africa,0.225354945,0.059076268,188,3.814644235,0.000184881,0.128183131,0.322526758,2019
Southern Africa,0.365508603,0.086374944,96,4.231650842,5.31E-05,0.223434464,0.507582742,2003
Southern Africa,0.38361681,0.072201015,96,5.31317755,6.98E-07,0.264856709,0.502376911,2004
Southern Africa,0.499743875,0.086451401,96,5.78063359,9.23E-08,0.357543974,0.641943776,2005
Southern Africa,0.364843268,0.073387909,96,4.971435664,2.90E-06,0.2441309,0.485555636,2006
Southern Africa,0.430346547,0.075522803,96,5.698233223,1.33E-07,0.30612259,0.554570504,2007
Southern Africa,0.384301173,0.072126305,96,5.328169387,6.55E-07,0.265663958,0.502938388,2008
Southern Africa,0.487423101,0.0637503,96,7.645816554,1.58E-11,0.382563188,0.592283014,2009
Southern Africa,0.429290714,0.06673149,96,6.433105502,4.88E-09,0.319527181,0.539054247,2010
Southern Africa,0.550267389,0.064736639,96,8.500091984,2.46E-13,0.443785093,0.656749685,2011
Southern Africa,0.445919366,0.042413643,96,10.51358323,1.18E-17,0.376155131,0.5156836,2012
Southern Africa,0.398615027,0.050467168,96,7.898501921,4.66E-12,0.315603922,0.481626132,2013
Southern Africa,0.426982826,0.04302484,96,9.924100244,2.16E-16,0.356213262,0.49775239,2014
Southern Africa,0.439326159,0.045651486,96,9.623479933,9.58E-16,0.364236147,0.514416171,2015
Southern Africa,0.425013908,0.044446083,96,9.562460321,1.30E-15,0.351906606,0.498121209,2016
Southern Africa,0.516283821,0.042764559,96,12.07270312,5.81E-21,0.445942381,0.58662526,2017
Southern Africa,0.524268786,0.047565216,96,11.02210469,9.66E-19,0.446030969,0.602506604,2018
Southern Africa,0.343206943,0.048457853,96,7.082586679,2.35E-10,0.263500868,0.422913018,2019
West Africa,0.42274456,0.152104146,117,2.779309914,0.006348807,0.172555504,0.672933616,2003
West Africa,0.484497064,0.120936712,117,4.006203365,0.000108845,0.285573874,0.683420254,2004
West Africa,0.39068461,0.172660594,117,2.262731758,0.025497132,0.106683205,0.674686015,2005
West Africa,0.321472995,0.286065165,117,1.123775403,0.263408785,0,0.792008319,2006
