"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","se","Region"
1,0.412376813584715,0.0848807204537529,0.256450545094575,0.586951255517608,1.0007282014191,4500,2003,"anti-logit Year eff",NA,"Africa"
2,0.419352974143912,0.0796038344284308,0.265929113305939,0.576393627098513,1.00177090888486,1800,2004,"anti-logit Year eff",NA,"Africa"
3,0.374591784219512,0.0825811229208216,0.222950197023348,0.549135371871171,1.00088545130965,4500,2005,"anti-logit Year eff",NA,"Africa"
4,0.410862851265381,0.0872181368125183,0.248749341173042,0.586541128172136,1.00142403975596,2600,2006,"anti-logit Year eff",NA,"Africa"
5,0.440167617905334,0.0866871237727859,0.273830027022958,0.61247339116424,1.00078827934408,4500,2007,"anti-logit Year eff",NA,"Africa"
6,0.58446888926767,0.0849409694672803,0.41091363240471,0.741314132304648,1.00131423600167,3100,2008,"anti-logit Year eff",NA,"Africa"
7,0.562028212605326,0.0823330015894557,0.396442034771351,0.717342904032357,1.0023971700067,1200,2009,"anti-logit Year eff",NA,"Africa"
8,0.539771505014403,0.0817765435721622,0.379706475498161,0.696520086621399,1.00165077970501,2000,2010,"anti-logit Year eff",NA,"Africa"
9,0.77390914047655,0.0569920785464682,0.649673975713555,0.871416034709445,1.00111012499522,4500,2011,"anti-logit Year eff",NA,"Africa"
10,0.743591221205931,0.0617224728356258,0.610167137693194,0.850736344954513,1.00136149216545,2900,2012,"anti-logit Year eff",NA,"Africa"
11,0.660482726621731,0.0718488839359731,0.507838565914404,0.789409412964143,1.00111777514847,4400,2013,"anti-logit Year eff",NA,"Africa"
12,0.749178241445902,0.0629608739609971,0.613962453023153,0.857031317510274,1.00108573931612,4500,2014,"anti-logit Year eff",NA,"Africa"
13,0.705650227741353,0.0674438603992695,0.563160976003568,0.823207543562916,1.00083229413443,4500,2015,"anti-logit Year eff",NA,"Africa"
14,0.690794117204353,0.0714034483080762,0.536761633503164,0.81403776090828,1.00134371770543,2900,2016,"anti-logit Year eff",NA,"Africa"
15,0.624326596021465,0.0750401454357281,0.46593087316632,0.761201703256442,1.00070320644998,4500,2017,"anti-logit Year eff",NA,"Africa"
16,0.563529931926194,0.0773048577235019,0.408661499507691,0.708428577753319,1.00317827626333,800,2018,"anti-logit Year eff",NA,"Africa"
17,0.353792053699684,0.0723030463360502,0.225034687165612,0.503347619393966,1.00097427071653,4500,2019,"anti-logit Year eff",NA,"Africa"
1,0.437127530387319,0.0353542734530205,0.36765346517282,0.508528859612308,1.00072527301189,4500,2003,"MM.p.uw",NA,"Africa"
2,0.459481654385004,0.0318405319616642,0.397309314207221,0.521206860293217,1.0018875644299,1600,2004,"MM.p.uw",NA,"Africa"
3,0.423332336783598,0.0354621560087577,0.355010777756856,0.492908731206101,1.0015425736931,2300,2005,"MM.p.uw",NA,"Africa"
4,0.452464268148402,0.0385833485820601,0.377027221875463,0.528625145661773,1.0033907399913,740,2006,"MM.p.uw",NA,"Africa"
5,0.457612317869551,0.0377655988027762,0.384513176458061,0.530817379763697,1.00175737642736,1800,2007,"MM.p.uw",NA,"Africa"
6,0.556154443228077,0.0326464490148726,0.490598087628211,0.619142507808884,1.00173791784165,1900,2008,"MM.p.uw",NA,"Africa"
7,0.541165477422554,0.0300936397681521,0.481532860960423,0.599376467537265,1.0010532448827,4500,2009,"MM.p.uw",NA,"Africa"
8,0.531341174797586,0.0297909541445091,0.473999672635107,0.590136824422325,1.00076700633281,4500,2010,"MM.p.uw",NA,"Africa"
9,0.695552376716947,0.0244010769390008,0.645214277618338,0.741456523157361,1.00513005693698,450,2011,"MM.p.uw",NA,"Africa"
10,0.661870625837085,0.0237200458101672,0.613120571623984,0.706355753441388,1.00296305936487,870,2012,"MM.p.uw",NA,"Africa"
11,0.616405837738108,0.0249085172832443,0.567005755612579,0.664835597184438,1.00146821778876,2500,2013,"MM.p.uw",NA,"Africa"
12,0.655555128306955,0.0256733840614253,0.603052577465302,0.703609386759494,1.00108678440865,4500,2014,"MM.p.uw",NA,"Africa"
13,0.633489956900194,0.0264417029447374,0.580979029611165,0.684833825069297,1.00152729483271,2300,2015,"MM.p.uw",NA,"Africa"
