"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
1,0.112529710591493,0.0919467031164834,0.0130406770697995,0.359860316764209,1.00153342802114,2300,2003,"anti-logit Year eff","Asia",NA
2,0.100530654374966,0.070539482727188,0.0177991636255539,0.290273858144944,1.00087018694904,4500,2004,"anti-logit Year eff","Asia",NA
3,0.246315768016303,0.11765433686832,0.0696782242735861,0.529390064324174,1.00096620933142,4500,2005,"anti-logit Year eff","Asia",NA
4,0.213653890657029,0.0916755801415,0.0749918147935762,0.428996718277562,1.00310950186444,820,2006,"anti-logit Year eff","Asia",NA
5,0.16705278162469,0.0803867154793965,0.0513339681165508,0.364004621192246,1.00272527261229,970,2007,"anti-logit Year eff","Asia",NA
6,0.222184090046879,0.0916582489262594,0.0798930095508937,0.430862881825265,1.00128514500987,3200,2008,"anti-logit Year eff","Asia",NA
7,0.23054821997687,0.0927516209653264,0.0836897331139234,0.443121338376139,1.0014569788854,2500,2009,"anti-logit Year eff","Asia",NA
8,0.329950002474819,0.108962579745019,0.146317305622251,0.566056513556322,1.00083835673299,4500,2010,"anti-logit Year eff","Asia",NA
9,0.151989622456933,0.0685831349736614,0.0516512779201976,0.312434535742742,1.00073983042988,4500,2011,"anti-logit Year eff","Asia",NA
10,0.19120595037722,0.081364856728851,0.0686826193801497,0.380402368493984,1.00131963322992,3100,2012,"anti-logit Year eff","Asia",NA
11,0.194973770540564,0.0794934699773419,0.0756219592396526,0.385893830970522,1.00265159869695,1000,2013,"anti-logit Year eff","Asia",NA
12,0.249412502929102,0.100703975288793,0.0937056077682867,0.481927147527213,1.00128403281936,3200,2014,"anti-logit Year eff","Asia",NA
13,0.370794039957888,0.118775647339472,0.165242133489668,0.620639926580455,1.00086326860864,4500,2015,"anti-logit Year eff","Asia",NA
14,0.215563556956564,0.0870502164154897,0.0836768594639096,0.416226025261466,1.00126266223818,3300,2016,"anti-logit Year eff","Asia",NA
15,0.296256656957687,0.106628700692225,0.121242365574704,0.534226075312641,1.00228020315367,1200,2017,"anti-logit Year eff","Asia",NA
16,0.174551796572323,0.13342257794063,0.0181517370347824,0.518825319212761,1.00074644107093,4500,2018,"anti-logit Year eff","Asia",NA
17,0.154785669248772,0.132356815690344,0.0132818386980434,0.504861741232514,1.00089599715663,4500,2019,"anti-logit Year eff","Asia",NA
1,0.188530666109041,0.084998864141886,0.0557381307308642,0.384009084780816,1.00142045464915,2700,2003,"MM.p.uw","Asia",NA
2,0.176443261821059,0.0698448965516828,0.0637947311702611,0.331076439686041,1.00070298481599,4500,2004,"MM.p.uw","Asia",NA
3,0.313833359648856,0.077916741499093,0.168387586165291,0.475221869641218,1.00084078435927,4500,2005,"MM.p.uw","Asia",NA
4,0.289764505465003,0.0612384848564942,0.174233396142229,0.413987532210739,1.00275427579362,960,2006,"MM.p.uw","Asia",NA
5,0.263295544064514,0.0595117344982616,0.153082791525675,0.38348867006131,1.00420185966227,570,2007,"MM.p.uw","Asia",NA
6,0.298024522938482,0.0602623520703219,0.183561114995625,0.422812918346094,1.00106284214773,4500,2008,"MM.p.uw","Asia",NA
